player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
101,Caoimhín Kelleher,Brentford,5,1,4.5,3.787703978515629,1,0,0,NEW (H)
476,Dan Burn,Newcastle,15,2,5.2,5.9997318954352625,1,0,0,BRE (A)
261,Chris Richards,Crystal Palace,8,2,4.5,4.879944751363964,1,0,0,BHA (H)
573,Djed Spence,Spurs,18,2,4.5,4.45216042971923,1,0,0,MUN (H)
36,Matty Cash,Aston Villa,2,2,4.6,4.344518370145324,1,0,0,BOU (H)
82,Antoine Semenyo,Bournemouth,4,3,8.1,11.421898288512292,1,0,1,AVL (A)
708,Mateus Gonçalo Espanha Fernandes,West Ham,19,3,5.5,5.833884799507356,1,0,0,BUR (H)
488,Bruno Guimarães Rodriguez Moura,Newcastle,15,3,6.6,4.2609394556041105,1,0,0,BRE (A)
455,Mason Mount,Man Utd,14,3,5.9,3.9630474968197102,1,0,0,TOT (A)
449,Bruno Borges Fernandes,Man Utd,14,3,8.9,3.9365696635828575,1,0,0,TOT (A)
430,Erling Haaland,Man City,13,4,14.8,4.095849552613858,1,0,0,LIV (H)
