player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain,next_fixture
182,James Trafford,Man City,13,1,4.8,3.0226757394816643,1,0,0,BHA (A)
685,Bafodé Diakité,Bournemouth,4,2,4.5,9.495691637153115,1,0,0,TOT (A)
631,Emmanuel Agbadou,Wolves,20,2,4.4,3.5731632391193275,1,0,0,EVE (H)
575,Micky van de Ven,Spurs,18,2,4.8,3.535707466302112,1,0,0,BOU (H)
506,Murillo Costa dos Santos,Nott'm Forest,16,2,5.4,3.0226647170474155,1,0,0,WHU (H)
673,João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,18,3,5.5,11.193947056193077,1,0,1,BOU (H)
612,Lucas Tolentino Coelho de Lima,West Ham,19,3,5.9,6.932904507060729,1,0,0,NFO (A)
83,Dango Ouattara,Brentford,5,3,6.0,3.4662913683056207,1,0,0,SUN (A)
661,Hugo Ekitiké,Liverpool,12,4,8.7,4.57542913487931,1,0,0,ARS (H)
666,Viktor Gyökeres,Arsenal,1,4,9.1,3.565007025620288,1,0,0,LIV (A)
249,João Pedro Junqueira de Jesus,Chelsea,7,4,7.7,2.5660795618534977,1,0,0,FUL (H)
